,original_title,genres,vote_average,category
0,Toy Story,"Animation, Comedy, Family",7.7,Good
1,Jumanji,"Adventure, Fantasy, Family",6.9,Good
2,Grumpier Old Men,"Romance, Comedy",6.5,Good
3,Waiting to Exhale,"Comedy, Drama, Romance",6.1,Good
4,Father of the Bride Part II,Comedy,5.7,Good
5,Heat,"Action, Crime, Drama, Thriller",7.7,Good
6,Sabrina,"Comedy, Romance",6.2,Good
7,Tom and Huck,"Action, Adventure, Drama, Family",5.4,Good
8,Sudden Death,"Action, Adventure, Thriller",5.5,Good
9,GoldenEye,"Adventure, Action, Thriller",6.6,Good
10,The American President,"Comedy, Drama, Romance",6.5,Good
11,Dracula: Dead and Loving It,"Comedy, Horror",5.7,Good
12,Balto,"Family, Animation, Adventure",7.1,Good
13,Nixon,"History, Drama",7.1,Good
14,Cutthroat Island,"Action, Adventure",5.7,Good
15,Casino,"Drama, Crime",7.8,Good
16,Sense and Sensibility,"Drama, Romance",7.2,Good
17,Four Rooms,"Crime, Comedy",6.5,Good
18,Ace Ventura: When Nature Calls,"Crime, Comedy, Adventure",6.1,Good
19,Money Train,"Action, Comedy, Crime",5.4,Good
20,Get Shorty,"Comedy, Thriller, Crime",6.4,Good
21,Copycat,"Drama, Thriller",6.5,Good
22,Assassins,"Action, Adventure, Crime, Thriller",6,Good
23,Powder,"Drama, Fantasy, Science Fiction, Thriller",6.3,Good
24,Leaving Las Vegas,"Drama, Romance",7.1,Good
25,Othello,Drama,7,Good
26,Now and Then,"Comedy, Drama, Family",6.6,Good
27,Persuasion,"Drama, Romance",7.4,Good
28,La Cité des Enfants Perdus,"Fantasy, Science Fiction, Adventure",7.6,Good
29,摇啊摇，摇到外婆桥,"Drama, Crime",6.5,Good
30,Dangerous Minds,"Drama, Crime",6.4,Good
31,Twelve Monkeys,"Science Fiction, Thriller, Mystery",7.4,Good
32,"Guillaumet, les ailes du courage","Romance, Adventure",6.8,Good
33,Babe,"Fantasy, Drama, Comedy, Family",6,Good
34,Carrington,"History, Drama, Romance",6.4,Good
35,Dead Man Walking,Drama,7.3,Good
36,Across the Sea of Time,"Adventure, History, Drama, Family",3.5,Bad
37,It Takes Two,"Comedy, Family, Romance",6.1,Good
38,Clueless,"Comedy, Drama, Romance",6.9,Good
39,"Cry, the Beloved Country",Drama,6.7,Good
40,Richard III,"Drama, War",6.9,Good
41,Dead Presidents,"Action, Crime, Drama, History",6.6,Good
42,Restoration,"Drama, Romance",6.3,Good
43,Mortal Kombat,"Action, Fantasy",5.4,Good
44,To Die For,"Fantasy, Drama, Comedy, Thriller",6.7,Good
45,How To Make An American Quilt,"Drama, Romance",6.5,Good
46,Se7en,"Crime, Mystery, Thriller",8.1,Very Good
47,Pocahontas,"Adventure, Animation, Drama, Family",6.7,Good
48,When Night Is Falling,"Drama, Romance",5.9,Good
49,The Usual Suspects,"Drama, Crime, Thriller",8.1,Very Good
50,Guardian Angel,"Action, Thriller, Drama",6.3,Good
51,Mighty Aphrodite,"Comedy, Romance",6.7,Good
52,Lamerica,"Drama, Foreign",7.7,Good
53,The Big Green,"Action, Adventure, Comedy, Family",5.2,Good
54,Georgia,Drama,6.1,Good
55,Kids of the Round Table,,3.05,Bad
56,Home for the Holidays,"Comedy, Drama, Romance",6.3,Good
57,Il postino,"Comedy, Drama, Romance",7.6,Good
